clock,note,desired frequency,factor 1,ARR,after ARR,psc,after psc,psc,after psc,samples per sine,,,,,,
,D4,293.66,286045.0862,,3620.823875,5000,0.724019971,,3620.823875,,226.3014922,3666.244694,D4,,,
, D#4/Eb4 ,311.13,269983.6081,,3417.514027,5100,0.669969423,,3417.514027,,213.5946267,3460.328309, D#4/Eb4 ,,,
,E4,329.63,254831.1743,,3225.711068,5200,0.62020978,,3225.711068,,201.6069417,3266.066338,E4,,,
,F4,349.23,240529.1642,,3044.672964,5300,0.574358228,,3044.672964,,190.2920603,3082.707233,F4,,,
, F#4/Gb4 ,369.99,227033.1631,,2873.837507,5400,0.532093595,,2873.837507,,179.6148442,2909.681578, F#4/Gb4 ,,,
,G4,392,214285.7143,,2712.477396,5500,0.493088056,,2712.477396,,169.5298373,2746.252747,G4,,,
, G#4/Ab4 ,415.3,202263.424,,2560.296507,5600,0.457114177,,2560.296507,,160.0185317,2592.120821, G#4/Ab4 ,,,
,A4,440,190909.0909,,2416.570771,5700,0.423885419,,2416.570771,,151.0356732,2446.552448,A4,,,
, A#4/Bb4 ,466.16,180195.641,,2280.957481,5800,0.393200738,,2280.957481,,142.5598425,2309.200525, A#4/Bb4 ,,,
,B4,493.88,170081.8012,,2152.934193,5900,0.364842263,,2152.934193,,134.5583871,2179.535913,B4,,"Bb, Eb",
,C5,523.25,160535.1171,,2032.090089,6000,0.338625244,,2032.090089,,127.0056306,2057.142526,C5,,,
, C#5/Db5 ,554.37,151523.3508,,1918.017099,6100,0.314377495,,1918.017099,,119.8760687,1941.607062, C#5/Db5 ,,Bb,0
,D5,587.33,143020.1079,,1810.381113,6200,0.291949865,,1810.381113,,113.1488196,1832.591128,D5,,C,1
, D#5/Eb5 ,622.25,134993.9735,,1708.784474,6300,0.271192584,,1708.784474,,106.7990297,1729.691968, D#5/Eb5 ,,D,2
,E5,659.25,127417.5199,,1612.879999,6400,0.251973129,,1612.879999,,100.8049999,1632.557948,E5,,Eb,3
,F5,698.46,120264.5821,,1522.336482,6500,0.234169587,,1522.336482,,95.14603013,1540.853616,F5,,F,4
, F#5/Gb5 ,739.99,113515.0475,,1436.899335,6600,0.217679039,,1436.899335,,89.80620847,1454.321122, F#5/Gb5 ,,G,5
,G5,783.99,107144.2238,,1356.255997,6700,0.20239606,,1356.255997,,84.76599982,1372.643895,G5,,A,6
, G#5/Ab5 ,830.61,101130.4945,,1280.132841,6800,0.188227149,,1280.132841,,80.00830258,1295.544801, G#5/Ab5 ,,Bb,7
,A5,880,95454.54545,,1208.285386,6900,0.175088449,,1208.285386,,75.51783659,1222.776224,A5,,C,8
, A#5/Bb5 ,932.33,90096.85412,,1140.466508,7000,0.162900515,,1140.466508,,71.27915674,1154.087873, A#5/Bb5 ,,F,9
,B5,987.77,85040.03969,,1076.456199,7100,0.151592198,,1076.456199,,67.27851241,1089.256919,B5,,,
,C6,1046.5,80267.55853,,1016.045045,7200,0.14109777,,1016.045045,,63.50281529,1028.071263,C6,,,
, C#6/Db6 ,1108.73,75762.35873,,959.0171992,7300,0.131354225,,959.0171992,,59.93857495,970.3122915, C#6/Db6 ,,,
,D6,1174.66,71510.05397,,905.1905566,7400,0.12230652,,905.1905566,,56.57440979,915.7955638,D6,,,
, D#6/Eb6 ,1244.51,67496.44438,,854.3853719,7500,0.113902863,,854.3853719,,53.39908575,864.3390306, D#6/Eb6 ,,,
,E6,1318.51,63708.27677,,806.4338831,7600,0.106095761,,806.4338831,,50.4021177,815.7727791,E6,,,
,F6,1396.91,60132.72151,,761.17369,7700,0.098840889,,761.17369,,47.57335562,769.932327,F6,,,
, F#6/Gb6 ,1479.98,56757.52375,,718.4496677,7800,0.092097124,,718.4496677,,44.90310423,726.6605609, F#6/Gb6 ,,,
,G6,1567.98,53572.11189,,678.1279986,7900,0.085828123,,678.1279986,,42.38299991,685.8219473,G6,,,
, G#6/Ab6 ,1661.22,50565.24723,,640.0664206,8000,0.079998303,,640.0664206,,40.00415129,647.2724004, G#6/Ab6 ,,,
,A6,1760,47727.27273,,604.1426928,8100,0.074576311,,604.1426928,,37.7589183,610.8881119,A6,,,
, A#6/Bb6 ,1864.66,45048.42706,,570.2332539,8200,0.069532161,,570.2332539,,35.63957837,576.5439367, A#6/Bb6 ,,,
,B6,1975.53,42520.23508,,538.2308237,8300,0.064839275,,538.2308237,,33.63942648,544.1312189,B6,,,
,C7,2093,40133.77926,,508.0225223,8400,0.060471673,,508.0225223,,31.75140765,513.5356316,C7,,,
, C#7/Db7 ,2217.46,37881.17937,,479.5085996,8500,0.05640614,,479.5085996,,29.96928747,484.6561457, C#7/Db7 ,,,
,D7,2349.32,35755.02699,,452.5952783,8600,0.052621239,,452.5952783,,28.28720489,457.3977819,D7,,,
